label,accession,location,country,zone,Date,host,Clade,Authors,Institute
OP535336|MPXV|Nigeria|Enugu|2017-10,OP535336,Enugu,Nigeria,SouthEast,2017-10,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535337|MPXV|Nigeria|Bayelsa|2017-10,OP535337,Bayelsa,Nigeria,SouthSouth,2017-10,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535338|MPXV|Nigeria|AkwaIbom|2017-10,OP535338,AkwaIbom,Nigeria,SouthSouth,2017-10,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535339|MPXV|Nigeria|Enugu|2017-10,OP535339,Enugu,Nigeria,SouthEast,2017-10,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535340|MPXV|Nigeria|AkwaIbom|2017-10,OP535340,AkwaIbom,Nigeria,SouthSouth,2017-10,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535341|MPXV|Nigeria|Bayelsa|2017-10,OP535341,Bayelsa,Nigeria,SouthSouth,2017-10,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612674|MPXV|Nigeria|Bayelsa|2019-01-12,OP612674,Bayelsa,Nigeria,SouthSouth,12/01/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612675|MPXV|Nigeria|Bayelsa|2019-01-30,OP612675,Bayelsa,Nigeria,SouthSouth,30/01/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612676|MPXV|Nigeria|Bayelsa|2019-02-20,OP612676,Bayelsa,Nigeria,SouthSouth,20/02/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612677|MPXV|Nigeria|Rivers|2019-03-12,OP612677,Rivers,Nigeria,SouthSouth,12/03/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
