label,accession,location,country,zone,Date,host,Clade,Authors,Institute
OP612690|MPXV|Nigeria|Imo|2019-12-17,OP612690,Imo,Nigeria,SouthEast,17/12/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612691|MPXV|Nigeria|unknown|2020-01-23,OP612691,unknown,Nigeria,SouthSouth,23/01/2020,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
MK783027|MPXV|Nigeria|Rivers|2017-11-09,MK783027,Rivers,Nigeria,SouthSouth,09/11/2017,Homo sapiens,CladeIIb,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MK783028|MPXV|Nigeria|Rivers|2017-11-09,MK783028,Rivers,Nigeria,SouthSouth,09/11/2017,Homo sapiens,CladeIIb,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MK783029|MPXV|Nigeria|Rivers|2017-12-06,MK783029,Rivers,Nigeria,SouthSouth,06/12/2017,Homo sapiens,CladeIIb,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MK783030|MPXV|Nigeria|Rivers|2017-11-30,MK783031,Rivers,Nigeria,SouthSouth,30/11/2017,Homo sapiens,CladeIIb,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MK783031|MPXV|Nigeria|Rivers|2017-11-09,MK783030,Rivers,Nigeria,SouthSouth,09/11/2017,Homo sapiens,CladeIIb,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MK783032|MPXV|Nigeria|Rivers|2017-11-01,MK783032,Rivers,Nigeria,SouthSouth,01/11/2017,Homo sapiens,CladeIIb,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MK783033|MPXV|Nigeria|Rivers|2017-10-09,MK783033,Rivers,Nigeria,SouthSouth,09/10/2017,Homo sapiens,CladeIIb,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MT903338|MPXV|Nigeria|Lagos|2018,MT903338,Lagos,Nigeria,SouthWest,2018,Homo sapiens,CladeIIb,"Mauldin MR, McCollum AM, Nakazawa YJ, Mandra A, Whitehouse ER, Davidson W, Zhao H, Gao J, Li Y, Doty J, Yinka-Ogunleye A, Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth-Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG. Exportation of Monkeypox Virus From the African Continent. J Infect Dis. 2022 Apr 19;225(8):1367-1376. doi: 10.1093/infdis/jiaa559. PMID: 32880628; PMCID: PMC9016419.","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MT903339|MPXV|Nigeria|Delta|2018,MT903339,Delta,Nigeria,SouthSouth,2018,Homo sapiens,CladeIIb,"Mauldin MR, McCollum AM, Nakazawa YJ, Mandra A, Whitehouse ER, Davidson W, Zhao H, Gao J, Li Y, Doty J, Yinka-Ogunleye A, Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth-Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG. Exportation of Monkeypox Virus From the African Continent. J Infect Dis. 2022 Apr 19;225(8):1367-1376. doi: 10.1093/infdis/jiaa559. PMID: 32880628; PMCID: PMC9016419.","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MT903341|MPXV|Nigeria|Bayelsa|2018-08-14,MT903341,Bayelsa,Nigeria,SouthSouth,14/08/2018,Homo sapiens,CladeIIb,"Mauldin MR, McCollum AM, Nakazawa YJ, Mandra A, Whitehouse ER, Davidson W, Zhao H, Gao J, Li Y, Doty J, Yinka-Ogunleye A, Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth-Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG. Exportation of Monkeypox Virus From the African Continent. J Infect Dis. 2022 Apr 19;225(8):1367-1376. doi: 10.1093/infdis/jiaa559. PMID: 32880628; PMCID: PMC9016419.","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
NC063383|MPXV|Nigeria|Rivers|2018-08,NC063383,Rivers,Nigeria,SouthSouth,2018-08,Homo sapiens,CladeIIb,"Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth- Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG.",
OP535312|MPXV|Nigeria|Rivers|2018-02,OP535312,Rivers,Nigeria,SouthSouth,2018-02,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535313|MPXV|Nigeria|Unknown|2018-01,OP535313,unknown,Nigeria,SouthSouth,2018-01,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535314|MPXV|Nigeria|Rivers|2018-01,OP535314,Rivers,Nigeria,SouthSouth,2018-01,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535315|MPXV|Nigeria|Imo|2018-02,OP535315,Imo,Nigeria,SouthEast,2018-02,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535316|MPXV|Nigeria|Imo|2018-02,OP535316,Imo,Nigeria,SouthEast,2018-02,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535317|MPXV|Nigeria|Lagos|2018-01,OP535317,Lagos,Nigeria,SouthWest,2018-01,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535318|MPXV|Nigeria|Benue|2017-12,OP535318,Benue,Nigeria,NorthCentral,2017-12,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535319|MPXV|Nigeria|CrossRiver|2017-12,OP535319,CrossRiver,Nigeria,SouthSouth,2017-12,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535320|MPXV|Nigeria|Abia|2017-11,OP535320,Abia,Nigeria,SouthEast,2017-11,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
MN648051|MPXV|isarael|Israel-ex|2018-10-04,MN648051,unknown,Nigeria,SouthSouth,04/10/2018,Homo sapiens,CladeIIb,"Cohen Gihon,I., Israeli,O., Shifman,O., Erez,N., Melamed,S., Paran,N., Beth-Din,A. and Zvi,A.","Institute for Biological Research, Reuven 24, Ness Ziona 74100, Israel"
MT903343|MPXV|UK-P1|UK-ex|2018-09-07,MT903343,unknown,Nigeria,SouthSouth,07/09/2018,Homo sapiens,CladeIIb,"Mauldin MR, McCollum AM, Nakazawa YJ, Mandra A, Whitehouse ER, Davidson W, Zhao H, Gao J, Li Y, Doty J, Yinka-Ogunleye A, Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth-Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG. Exportation of Monkeypox Virus From the African Continent. J Infect Dis. 2022 Apr 19;225(8):1367-1376. doi: 10.1093/infdis/jiaa559. PMID: 32880628; PMCID: PMC9016419.","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MT903344|MPXV|UK-P2|UK-ex|2018-09-07,MT903344,unknown,Nigeria,SouthSouth,07/09/2018,Homo sapiens,CladeIIb,"Mauldin MR, McCollum AM, Nakazawa YJ, Mandra A, Whitehouse ER, Davidson W, Zhao H, Gao J, Li Y, Doty J, Yinka-Ogunleye A, Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth-Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG. Exportation of Monkeypox Virus From the African Continent. J Infect Dis. 2022 Apr 19;225(8):1367-1376. doi: 10.1093/infdis/jiaa559. PMID: 32880628; PMCID: PMC9016419.","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
MT903345|MPXV|UK-P3|UK|2018-09-22,MT903345,unknown,Nigeria,SouthSouth,22/09/2018,Homo sapiens,CladeIIb,"Mauldin MR, McCollum AM, Nakazawa YJ, Mandra A, Whitehouse ER, Davidson W, Zhao H, Gao J, Li Y, Doty J, Yinka-Ogunleye A, Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth-Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG. Exportation of Monkeypox Virus From the African Continent. J Infect Dis. 2022 Apr 19;225(8):1367-1376. doi: 10.1093/infdis/jiaa559. PMID: 32880628; PMCID: PMC9016419.","NCEZID/DHCPP/PRB, CDC, 1600 Clifton Rd, Atlanta, GA 30333, USA"
ON563414|MPXV|USA-MA001|USA-ex|2022-05-19,ON563414,unknown,Nigeria,SouthSouth,19/05/2022,Homo sapiens,CladeIIb,"Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D. and Li,Y.","Division of High- Consequence Pathogens and Pathology, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30329, USA"
ON674051|MPXV|USA-FL001|USA-ex|2022-05-22,ON674051,unknown,Nigeria,SouthEast,22/05/2022,Homo sapiens,CladeIIb,"Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D. and Li,Y.","Division of High- Consequence Pathogens and Pathology, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30329, USA"
ON675438-VA001|MPXV|USA|USA-ex|2022-05-27,ON675438,unknown,Nigeria,SouthSouth,27/05/2022,Homo sapiens,CladeIIb,"Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D. and Li,Y.","Division of High- Consequence Pathogens and Pathology, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30329, USA"
ON676707|MPXV|USA|USA-ex|2021-07-15,ON676707,unknown,Nigeria,SouthSouth,15/07/2021,Homo sapiens,CladeIIb,"Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D. and Li,Y.","Division of High- Consequence Pathogens and Pathology, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30329, USA"
ON676708|MPXV|USA-MD|USA|2021-11-16,ON676708,unknown,Nigeria,SouthSouth,16/11/2021,Homo sapiens,CladeIIb,"Gigante,C.M., Myers,R., Seabolt,M.H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Blythe,D. and Li,Y.","Division of High- Consequence Pathogens and Pathology, Centers for Disease Control and Prevention, 1600 Clifton Road, Atlanta, GA 30329, USA"
OP331335-9000155|MPXV|UK|UK-ex|2022-06-03,OP331335,unknown,Nigeria,SouthEast,03/06/2022,Homo sapiens,CladeIIb,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R. and Research and Evaluation, UKHSA, Porton Down, Salisbury, Wiltshire SP4 0JG, UK OP331335 OP331336 OP415257 IIb 24 Chand,M.","Research and Evaluation, UKHSA, Porton Down, Salisbury, Wiltshire SP4 0JG, UK"
OP331336-9000166|MPXV|UK|UK-ex|2022-06-29,OP331336,unknown,Nigeria,SouthWest,29/06/2022,Homo sapiens,CladeIIb,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R. and Research and Evaluation, UKHSA, Porton Down, Salisbury, Wiltshire SP4 0JG, UK OP331335 OP331336 OP415257 IIb 24 Chand,M.","Research and Evaluation, UKHSA, Porton Down, Salisbury, Wiltshire SP4 0JG, UK"
OL504741-2091|MPXV|UK|UK-ex|2019-12-03,OL504741,unknown,Nigeria,SouthSouth,03/12/2019,Homo sapiens,CladeIIb,"Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K. and Brooks,T.","UKHSA, Manor Farm Road, Porton, Wiltshire SP4 0JG, UK"
OP413718-9000360|MPXV|UK|UK-ex|2022-08,OP413718,unknown,Nigeria,NorthCentral,2022-08,Homo sapiens,CladeIIb,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R. and Research and Evaluation, UKHSA, Porton Down, Salisbury, Wiltshire SP4 0JG, UK OP331335 OP331336 OP415257 IIb 24 Chand,M.","Research and Evaluation, UKHSA, Porton Down, Salisbury, Wiltshire SP4 0JG, UK"
OP450997-PA0016|MPXV|USA|USA-ex|2022-07,OP450997,unknown,Nigeria,NorthCentral,2022-07,Homo sapiens,CladeIIb,"Gigante,C.M., Xia,D., Zhao,H., Batra,D., Hetrick,E.E., Howard,D.T., Kovar,L., Seabolt,M.H., Weigand,M.R., Burroughs,M., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Plipat,N. and Li,Y.",
OP555515-PT0428|MPXV|Portugal|Portugal-ex|2022-08-01,OP555515,unknown,Nigeria,SouthSouth,01/08/2022,Homo sapiens,CladeIIb,"Isidro, J., Borges, V., Pinto, M., Sobral, D., Santos, J.D., Nunes, A., Mixo, V., Ferreira, R., Santos, D., Duarte, S. and Vieira, L.,",
PP852990|TRM288|MPXV|Nigeria|Akwa-Ibom|2022-09-28,PP852990,AkwaIbom,Nigeria,SouthSouth,28/09/2022,Homo sapiens,zoonosis ,"Parker,E., Omah,I.F., Varilly,P., Magee,A., Ayinla,A.O., Sijuwola,A.E., Ahmed,M.I., Ope-ewe,O.O., Ogunsanya,O.A., Olono,A., Eromon,P., Tomkins-Tinch,C.H., Otieno,J.R., Akanbi,O., Egwuenu,A., Ehiakhamen,O., Chukwu,C., Suleiman,K., Akinpelu,A., Ahmad,A., Imam,K.I., Ojedele,R., Oripenaye,V., Ikeata,K., Adelakun,S., Olajumoke,B., Djuicy,D.D., Messanga Essengue,L.L., Moumbeket Yifomnjou,M.H., Zeller,M., Gangavarapu,K., O'Toole,A., Park,D.J.,, Mboowa,G., Tessema,S.K., Tebeje,Y.K., Folarin,O., Happi,A., Lemey,P., Suchard,M.A., Andersen,K.G., Sabeti,P., Rambaut,A., Njoum,R., Ihekweazu,C., Jide,I., Adetifa,I. and Happi,C.T.","The African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), at RedeemerÕs University, Ede, Nigeria,"
PP852957|VSP199|MPXV|Nigeria|Akwa-Ibom|2022-01-01,PP852957,AkwaIbom,Nigeria,SouthSouth,01/01/2022,Homo sapiens,zoonosis ,"Parker,E., Omah,I.F., Varilly,P., Magee,A., Ayinla,A.O., Sijuwola,A.E., Ahmed,M.I., Ope-ewe,O.O., Ogunsanya,O.A., Olono,A., Eromon,P., Tomkins-Tinch,C.H., Otieno,J.R., Akanbi,O., Egwuenu,A., Ehiakhamen,O., Chukwu,C., Suleiman,K., Akinpelu,A., Ahmad,A., Imam,K.I., Ojedele,R., Oripenaye,V., Ikeata,K., Adelakun,S., Olajumoke,B., Djuicy,D.D., Messanga Essengue,L.L., Moumbeket Yifomnjou,M.H., Zeller,M., Gangavarapu,K., O'Toole,A., Park,D.J.,, Mboowa,G., Tessema,S.K., Tebeje,Y.K., Folarin,O., Happi,A., Lemey,P., Suchard,M.A., Andersen,K.G., Sabeti,P., Rambaut,A., Njoum,R., Ihekweazu,C., Jide,I., Adetifa,I. and Happi,C.T.","The African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), at RedeemerÕs University, Ede, Nigeria,"
PP852947|VSP189|MPXV|Nigeria|Abia|2022-01-01,PP852947,Abia,Nigeria,SouthEast,01/01/2022,Homo sapiens,zoonosis ,"Parker,E., Omah,I.F., Varilly,P., Magee,A., Ayinla,A.O., Sijuwola,A.E., Ahmed,M.I., Ope-ewe,O.O., Ogunsanya,O.A., Olono,A., Eromon,P., Tomkins-Tinch,C.H., Otieno,J.R., Akanbi,O., Egwuenu,A., Ehiakhamen,O., Chukwu,C., Suleiman,K., Akinpelu,A., Ahmad,A., Imam,K.I., Ojedele,R., Oripenaye,V., Ikeata,K., Adelakun,S., Olajumoke,B., Djuicy,D.D., Messanga Essengue,L.L., Moumbeket Yifomnjou,M.H., Zeller,M., Gangavarapu,K., O'Toole,A., Park,D.J.,, Mboowa,G., Tessema,S.K., Tebeje,Y.K., Folarin,O., Happi,A., Lemey,P., Suchard,M.A., Andersen,K.G., Sabeti,P., Rambaut,A., Njoum,R., Ihekweazu,C., Jide,I., Adetifa,I. and Happi,C.T.","The African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), at RedeemerÕs University, Ede, Nigeria,"
