Taxa,Region
MK783028_MPXV_Nigeria_Rivers_2017-11-09,S
MK783029_MPXV_Nigeria_Rivers_2017-12-06,S
MK783031_MPXV_Nigeria_Rivers_2017-11-09,S
MK783027_MPXV_Nigeria_Rivers_2017-11-09,S
OP535329_MPXV_Nigeria_Rivers_2018-03,S
OP535328_MPXV_Nigeria_Rivers_2018-03,S
OP535327_MPXV_Nigeria_Rivers_2018-03,S
OP612678_MPXV_Nigeria_Rivers_2019-11-02,S
MK783030_MPXV_Nigeria_Rivers_2017-11-30,S
OP535312_MPXV_Nigeria_Rivers_2018-02,S
OP535334_MPXV_Nigeria_Rivers_2018-02,S
OP535314_MPXV_Nigeria_Rivers_2018-01,S
OP612677_MPXV_Nigeria_Rivers_2019-03-12,S
MK783033_MPXV_Nigeria_Rivers_2017-10-09,S
MT250197_MPXV_Singapore_ex_Nigeria_2019-05-08,Rest
EPI_ISL_13983888_MPXV_Thailand_ex_Nigeria_2022-07-17,Rest
OP331335_9000155_MPXV_UK_ex_2022-06-03,Rest
OP331336_9000166_MPXV_UK_ex_2022-06-29,Rest
MT903344_MPXV_UK-P2_UK_ex_Nigeria_2018-09-07,Rest
MT903345_MPXV_UK-P3_UK_2018-09-22,Rest
OL504741_2091_MPXV_UK_ex_Nigeria_2019-12-03,Rest
MT903343_MPXV_UK-P1_UK_ex_Nigeria_2018-09-07,Rest
OP413718_9000360_MPXV_UK_ex_2022-08,Rest
ON676707_MPXV_USA_2021-07-15,Rest
ON563414_MPXV_MA001-USA_2022-05-19,Rest
ON674051-FL001_MPXV_USA_2022-05-22,Rest
OP450997_PA0016_MPXV_USA_2022-07,Rest
ON675438_VA001_MPXV_USA_2022-05-27,Rest
ON676708_MPXV_MD_USA_2021-11-16,Rest
